"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0C690","2020-05-08 00:00:00","242.000","188.000","0.600","23.300","0.830","983.200","","8.500","-99.000","-99.000","-99.000","26.700","","21.000",""
"C0A540","2020-05-08 00:00:00","401.000","0.000","0.000","22.100","0.980","967.600","","10.000","-99.000","-99.000","-99.000","25.400","","20.100",""
"C0SA60","2020-05-08 00:00:00","6.000","328.000","0.800","25.100","0.960","1009.900","","4.000","-99.000","-99.000","-99.000","29.200","","25.000",""
"C0H950","2020-05-08 00:00:00","192.000","0.000","0.000","25.700","0.830","988.600","","0.000","-99.000","-99.000","-99.000","33.200","","23.100",""
"C0O960","2020-05-08 00:00:00","112.000","0.000","0.000","26.200","0.800","996.400","","0.000","-99.000","-99.000","-99.000","33.600","","24.600",""
"C0E880","2020-05-08 00:00:00","507.000","257.000","1.400","23.000","0.990","953.900","","0.000","-99.000","-99.000","-99.000","27.800","","21.100",""
"C0AH10","2020-05-08 00:00:00","30.000","128.000","2.100","26.200","1.000","1006.500","","13.000","-99.000","-99.000","-99.000","28.200","","23.100",""
"C0R820","2020-05-08 00:00:00","588.000","0.000","0.100","23.200","0.840","946.600","","0.000","-99.000","-99.000","-99.000","33.400","","22.100",""
"C0R680","2020-05-08 00:00:00","13.000","334.000","1.000","24.800","0.940","1009.400","","0.000","-99.000","-99.000","-99.000","30.300","","24.700",""
"C0X210","2020-05-08 00:00:00","38.000","150.000","0.800","26.800","0.770","1004.000","","0.000","-99.000","-99.000","-99.000","32.900","","24.500",""
"C0D430","2020-05-08 00:00:00","87.000","0.000","0.000","24.100","0.990","999.300","","12.000","-99.000","-99.000","-99.000","27.000","","23.500",""
"C0AD30","2020-05-08 00:00:00","20.000","122.000","0.500","26.300","0.780","1006.200","","10.000","-99.000","-99.000","-99.000","28.300","","22.400",""
"C0R240","2020-05-08 00:00:00","87.000","19.000","0.500","25.000","0.840","999.600","","0.000","-99.000","-99.000","-99.000","35.000","","23.500",""
"C0AI30","2020-05-08 00:00:00","26.000","0.000","0.000","26.100","0.910","1008.200","","8.000","-99.000","-99.000","-99.000","27.900","","23.000",""
"C0U960","2020-05-08 00:00:00","1885.000","6.000","2.100","12.400","0.990","814.500","","12.000","-99.000","-99.000","-99.000","19.500","","12.400",""
"C0T9E0","2020-05-08 00:00:00","415.000","0.000","0.100","22.000","0.970","966.200","","4.000","-99.000","-99.000","-99.000","24.400","","20.600",""
"C0D550","2020-05-08 00:00:00","1956.000","161.000","0.600","16.000","0.650","811.300","","0.500","-99.000","-99.000","-99.000","21.600","","14.600",""
"C0R190","2020-05-08 00:00:00","32.000","0.000","0.100","27.500","0.880","1005.600","","0.000","-99.000","-99.000","-99.000","34.400","","24.300",""
"C0I010","2020-05-08 00:00:00","1562.000","104.000","0.700","17.800","0.730","848.900","","0.000","-99.000","-99.000","-99.000","23.600","","17.000",""
"C0F930","2020-05-08 00:00:00","100.000","328.000","0.500","26.100","1.000","998.300","","0.000","-99.000","-99.000","-99.000","32.100","","24.400",""
"C0X180","2020-05-08 00:00:00","62.000","0.000","0.000","26.800","0.940","1001.800","","0.000","-99.000","-99.000","-99.000","33.600","","25.500",""
"C0ACA0","2020-05-08 00:00:00","25.000","0.000","0.000","25.400","0.890","1006.500","","9.000","-99.000","-99.000","-99.000","27.600","","22.700",""
"C0X260","2020-05-08 00:00:00","39.000","175.000","0.800","27.100","0.850","1005.900","","0.000","-99.000","-99.000","-99.000","32.800","","25.200",""
"C0K500","2020-05-08 00:00:00","12.000","0.000","0.000","27.800","0.830","1007.500","","0.000","-99.000","-99.000","-99.000","32.800","","25.800",""
"CM0010","2020-05-08 00:00:00","68.000","-99.000","-99.000","24.200","0.830","1003.000","","10.500","-99.000","-99.000","-99.000","26.100","","22.200",""
"C0O990","2020-05-08 00:00:00","18.000","0.000","0.000","26.300","0.990","1007.600","","0.000","-99.000","-99.000","-99.000","34.900","","24.900",""
"C0E430","2020-05-08 00:00:00","258.000","180.000","1.000","22.600","0.900","984.700","","6.000","-99.000","-99.000","-99.000","26.000","","22.300",""
"C0D390","2020-05-08 00:00:00","146.000","0.000","0.000","23.300","0.970","992.400","","34.500","-99.000","-99.000","-99.000","25.900","","22.000",""
"C0T9F0","2020-05-08 00:00:00","251.000","0.000","0.100","22.600","0.990","983.200","","2.000","-99.000","-99.000","-99.000","26.100","","21.600",""
"C0R350","2020-05-08 00:00:00","35.000","76.000","1.500","26.600","0.880","1006.800","","0.000","-99.000","-99.000","-99.000","32.100","","23.500",""
"C0K550","2020-05-08 00:00:00","15.000","0.000","0.200","27.600","0.830","1008.400","","0.000","-99.000","-99.000","-99.000","33.100","","26.000",""
"C0C670","2020-05-08 00:00:00","250.000","0.000","0.000","24.000","0.880","982.500","","21.500","-99.000","-99.000","-99.000","25.800","","20.700",""
